key,group,name,type,area_m2,launch_date,launch_ppsm,handover_date,mid_date,mid_ppsm,current_ppsm,rental_yield,confidence
CELA-RB-2PN,Celadon · Ruby,Celadon Ruby · 2PN,2PN,75,2014-10,24000000,2016-03,2021-08,38000000,44000000,4.8,cao
CELA-EM-2PN,Celadon · Emerald,Celadon Emerald · 2PN,2PN,74,2017-06,32000000,2019-11,2021-08,48000000,56000000,4.5,cao
CELA-DM-2PN,Celadon · Diamond,Celadon Diamond · 2PN,2PN,100,2018-12,46000000,2022-04,2021-08,62000000,74000000,4.0,cao
RICH-2PN,RichStar Novaland,RichStar · 2PN,2PN,73,2016-04,27000000,2018-11,2021-08,42000000,46000000,5.0,cao
MELO-2PN,Melody Residences,Melody · 2PN,2PN,69,2015-04,20000000,2017-07,2021-08,36000000,40000000,5.2,cao
ORIE-2PN,Oriental Plaza,Oriental Plaza · 2PN,2PN,83,2015-01,19000000,2017-04,2021-08,32000000,37000000,5.5,vừa
CARI7-2PN,Carillon 7,Carillon 7 · 2PN,2PN,71,2018-03,29000000,2020-07,2021-08,41000000,46000000,5.0,cao
CARI5-2PN,Carillon 5,Carillon 5 · 2PN,2PN,67,2017-01,27000000,2018-12,2021-08,37000000,42000000,5.2,vừa
RESG-2PN,ResGreen Tower,ResGreen · 2PN,2PN,63,2018-09,28000000,2020-10,2021-08,36000000,41000000,4.8,vừa
LOTU-2PN,Lotus Garden,Lotus Garden · 2PN,2PN,71,2010-05,15000000,2012-03,2021-08,27000000,31000000,5.8,cao
TECC-2PN,Tecco Đầm Sen,Tecco Đầm Sen · 2PN,2PN,68,2019-06,26000000,2021-12,2021-08,31000000,34000000,4.5,thấp
ANGI-2PN,An Gia Garden,An Gia Garden · 2PN,2PN,62,2014-06,18000000,2016-06,2021-08,32000000,36000000,5.3,vừa
CELA-RB-1PN,Celadon · Ruby,Celadon Ruby · 1PN,1PN,50,2014-10,26000000,2016-03,2021-08,41000000,47500000,4.9,vừa
CELA-RB-3PN,Celadon · Ruby,Celadon Ruby · 3PN,3PN,95,2014-10,23000000,2016-03,2021-08,36000000,42000000,4.6,vừa
CELA-EM-1PN,Celadon · Emerald,Celadon Emerald · 1PN,1PN,49,2017-06,34500000,2019-11,2021-08,52000000,60500000,4.6,vừa
CELA-EM-3PN,Celadon · Emerald,Celadon Emerald · 3PN,3PN,108,2017-06,30500000,2019-11,2021-08,45500000,53000000,4.3,vừa
CELA-EM-DUP,Celadon · Emerald,Celadon Emerald · Duplex,Duplex,180,2017-06,38500000,2019-11,2021-08,57500000,67000000,4.0,thấp
CELA-DM-3PN,Celadon · Diamond,Celadon Diamond · 3PN,3PN,120,2018-12,43500000,2022-04,2021-08,59000000,70500000,3.9,vừa
CELA-DM-SKY,Celadon · Diamond,Celadon Diamond · SkyVilla,SkyVilla,200,2018-12,52000000,2022-04,2021-08,68000000,62000000,3.5,vừa
CELA-DM-PH,Celadon · Diamond,Celadon Diamond · Penthouse,Penthouse,150,2018-12,50000000,2022-04,2021-08,66000000,72000000,3.6,thấp
RICH-1PN,RichStar Novaland,RichStar · 1PN+1,1PN+1,53,2016-04,29000000,2018-11,2021-08,45500000,52000000,4.7,vừa
RICH-3PN,RichStar Novaland,RichStar · 3PN,3PN,92,2016-04,25500000,2018-11,2021-08,40000000,45000000,4.2,vừa
MELO-3PN,Melody Residences,Melody · 3PN,3PN,95,2015-04,19000000,2017-07,2021-08,34000000,38000000,5.3,vừa
ORIE-3PN,Oriental Plaza,Oriental Plaza · 3PN,3PN,104,2015-01,18000000,2017-04,2021-08,30500000,35000000,4.8,vừa
ORIE-PH,Oriental Plaza,Oriental Plaza · Penthouse,Penthouse,140,2015-01,23000000,2017-04,2021-08,38500000,44500000,4.8,thấp
CARI7-1PN,Carillon 7,Carillon 7 · 1PN,1PN,48,2018-03,31500000,2020-07,2021-08,44500000,49500000,5.1,vừa
CARI7-3PN,Carillon 7,Carillon 7 · 3PN,3PN,95,2018-03,27500000,2020-07,2021-08,39000000,43500000,4.8,vừa
CARI5-1PN,Carillon 5,Carillon 5 · 1PN,1PN,47,2017-01,29000000,2018-12,2021-08,40000000,45500000,5.3,vừa
CARI5-3PN,Carillon 5,Carillon 5 · 3PN,3PN,95,2017-01,25500000,2018-12,2021-08,35000000,40000000,5.0,vừa
RESG-3PN,ResGreen Tower,ResGreen Tower · 3PN,3PN,82,2018-09,26500000,2020-10,2021-08,34000000,39000000,4.7,vừa
RESG-PH,ResGreen Tower,ResGreen Tower · Penthouse,Penthouse,137,2018-09,33500000,2020-10,2021-08,43000000,49000000,4.5,vừa
LOTU-1PN,Lotus Garden,Lotus Garden · 1PN,1PN,52,2010-05,16000000,2012-03,2021-08,29000000,34000000,5.7,vừa
LOTU-3PN,Lotus Garden,Lotus Garden · 3PN,3PN,86,2010-05,14000000,2012-03,2021-08,25500000,30000000,5.5,vừa
TECC-1PN,Tecco Đầm Sen,Tecco Đầm Sen · 1PN,1PN,47,2019-06,27000000,2021-12,2021-08,33500000,36500000,4.7,thấp
TECC-3PN,Tecco Đầm Sen,Tecco Đầm Sen · 3PN,3PN,93,2019-06,24500000,2021-12,2021-08,29500000,32500000,4.5,thấp
ANGI-3PN,An Gia Garden,An Gia Garden · 3PN,3PN,83,2014-06,17000000,2016-06,2021-08,30500000,34500000,5.2,vừa
